t,n_neighbors,accuracy,score_among_top_20_percent,selected_features
1,3,0.62,6600.000000000001,[2]
1,5,0.64,6400.0,[2]
1,7,0.65,6850.0,[2]
1,11,0.664,7400.0,[2]
2,3,0.624,6250.0,"[2, 3]"
2,5,0.664,6750.0,"[2, 3]"
2,7,0.667,6650.0,"[2, 3]"
2,11,0.685,6499.999999999999,"[2, 3]"
3,3,0.621,5950.0,"[2, 3, 6]"
3,5,0.657,6550.0,"[2, 3, 6]"
3,7,0.667,6600.0,"[2, 3, 6]"
3,11,0.685,6250.000000000001,"[2, 3, 6]"
4,3,0.616,5950.0,"[2, 3, 6, 7]"
4,5,0.657,6050.000000000001,"[2, 3, 6, 7]"
4,7,0.675,6200.0,"[2, 3, 6, 7]"
4,11,0.683,6550.0,"[2, 3, 6, 7]"
5,3,0.659,5899.999999999999,"[2, 3, 4, 6, 7]"
5,5,0.679,5899.999999999999,"[2, 3, 4, 6, 7]"
5,7,0.692,6100.0,"[2, 3, 4, 6, 7]"
5,11,0.688,6400.0,"[2, 3, 4, 6, 7]"
6,3,0.652,5800.0,"[2, 3, 4, 6, 7, 8]"
6,5,0.677,5950.0,"[2, 3, 4, 6, 7, 8]"
6,7,0.683,6100.0,"[2, 3, 4, 6, 7, 8]"
6,11,0.69,5900.0,"[2, 3, 4, 6, 7, 8]"
7,3,0.662,5499.999999999999,"[2, 3, 4, 5, 6, 7, 8]"
7,5,0.668,5950.0,"[2, 3, 4, 5, 6, 7, 8]"
7,7,0.678,5499.999999999999,"[2, 3, 4, 5, 6, 7, 8]"
7,11,0.691,6000.0,"[2, 3, 4, 5, 6, 7, 8]"
8,3,0.642,5299.999999999999,"[0, 2, 3, 4, 5, 6, 7, 8]"
8,5,0.67,5299.999999999999,"[0, 2, 3, 4, 5, 6, 7, 8]"
8,7,0.674,5349.999999999999,"[0, 2, 3, 4, 5, 6, 7, 8]"
8,11,0.692,5650.0,"[0, 2, 3, 4, 5, 6, 7, 8]"
9,3,0.654,5000.000000000001,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
9,5,0.677,5050.000000000001,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
9,7,0.678,5050.000000000001,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
9,11,0.69,5149.999999999999,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
10,3,0.641,4800.000000000001,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
10,5,0.677,5000.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
10,7,0.69,5350.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
10,11,0.682,5350.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
11,3,0.644,4600.000000000001,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 414]"
11,5,0.676,4800.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 414]"
11,7,0.689,5100.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 414]"
11,11,0.697,4850.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 414]"
12,3,0.662,4600.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 414, 462]"
12,5,0.676,4650.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 414, 462]"
12,7,0.693,4900.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 414, 462]"
12,11,0.696,4350.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 414, 462]"
13,3,0.657,4700.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 414, 425, 462]"
13,5,0.665,4750.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 414, 425, 462]"
13,7,0.683,4450.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 414, 425, 462]"
13,11,0.711,4600.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 414, 425, 462]"
14,3,0.66,4500.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 339, 414, 425, 462]"
14,5,0.666,4350.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 339, 414, 425, 462]"
14,7,0.686,4099.999999999999,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 339, 414, 425, 462]"
14,11,0.71,4450.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 339, 414, 425, 462]"
15,3,0.658,4200.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 339, 351, 414, 425, 462]"
15,5,0.666,4050.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 339, 351, 414, 425, 462]"
15,7,0.69,4000.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 339, 351, 414, 425, 462]"
15,11,0.711,4300.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 339, 351, 414, 425, 462]"
16,3,0.657,4050.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 339, 351, 356, 414, 425, 462]"
16,5,0.671,3850.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 339, 351, 356, 414, 425, 462]"
16,7,0.69,3699.999999999999,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 339, 351, 356, 414, 425, 462]"
16,11,0.709,4150.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 339, 351, 356, 414, 425, 462]"
17,3,0.654,3850.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 330, 339, 351, 356, 414, 425, 462]"
17,5,0.668,3600.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 330, 339, 351, 356, 414, 425, 462]"
17,7,0.689,3400.000000000001,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 330, 339, 351, 356, 414, 425, 462]"
17,11,0.711,3850.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 330, 339, 351, 356, 414, 425, 462]"
18,3,0.664,3250.000000000001,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 180, 330, 339, 351, 356, 414, 425, 462]"
18,5,0.673,3450.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 180, 330, 339, 351, 356, 414, 425, 462]"
18,7,0.696,3550.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 180, 330, 339, 351, 356, 414, 425, 462]"
18,11,0.71,3800.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 180, 330, 339, 351, 356, 414, 425, 462]"
19,3,0.648,3300.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 180, 330, 339, 351, 356, 405, 414, 425, 462]"
19,5,0.668,3050.000000000001,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 180, 330, 339, 351, 356, 405, 414, 425, 462]"
19,7,0.682,3300.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 180, 330, 339, 351, 356, 405, 414, 425, 462]"
19,11,0.688,3450.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 180, 330, 339, 351, 356, 405, 414, 425, 462]"
20,3,0.644,2899.999999999999,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 133, 180, 330, 339, 351, 356, 405, 414, 425, 462]"
20,5,0.676,2949.999999999999,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 133, 180, 330, 339, 351, 356, 405, 414, 425, 462]"
20,7,0.688,3300.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 133, 180, 330, 339, 351, 356, 405, 414, 425, 462]"
20,11,0.69,3350.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 133, 180, 330, 339, 351, 356, 405, 414, 425, 462]"
