t,penalty,C,accuracy,score_among_top_20_percent,selected_features
1,l1,0.001,0.488,6699.999999999999,[2]
1,l1,0.01,0.686,6699.999999999999,[2]
1,l1,0.1,0.697,6699.999999999999,[2]
1,l1,1.0,0.698,6699.999999999999,[2]
1,l1,10.0,0.698,6699.999999999999,[2]
1,l1,100.0,0.698,6699.999999999999,[2]
1,l1,1000.0,0.698,6699.999999999999,[2]
1,l2,0.001,0.5,6699.999999999999,[2]
1,l2,0.01,0.678,6699.999999999999,[2]
1,l2,0.1,0.699,6699.999999999999,[2]
1,l2,1.0,0.697,6699.999999999999,[2]
1,l2,10.0,0.698,6699.999999999999,[2]
1,l2,100.0,0.698,6699.999999999999,[2]
1,l2,1000.0,0.698,6699.999999999999,[2]
2,l1,0.001,0.488,6499.999999999999,"[2, 3]"
2,l1,0.01,0.687,6499.999999999999,"[2, 3]"
2,l1,0.1,0.7,6400.000000000001,"[2, 3]"
2,l1,1.0,0.7,6400.000000000001,"[2, 3]"
2,l1,10.0,0.7,6400.000000000001,"[2, 3]"
2,l1,100.0,0.7,6400.000000000001,"[2, 3]"
2,l1,1000.0,0.7,6400.000000000001,"[2, 3]"
2,l2,0.001,0.532,6700.0,"[2, 3]"
2,l2,0.01,0.689,6350.0,"[2, 3]"
2,l2,0.1,0.702,6400.000000000001,"[2, 3]"
2,l2,1.0,0.7,6400.000000000001,"[2, 3]"
2,l2,10.0,0.7,6400.000000000001,"[2, 3]"
2,l2,100.0,0.7,6400.000000000001,"[2, 3]"
2,l2,1000.0,0.7,6400.000000000001,"[2, 3]"
3,l1,0.001,0.488,6299.999999999999,"[2, 3, 6]"
3,l1,0.01,0.685,6299.999999999999,"[2, 3, 6]"
3,l1,0.1,0.698,6150.0,"[2, 3, 6]"
3,l1,1.0,0.7,6100.0,"[2, 3, 6]"
3,l1,10.0,0.7,6100.0,"[2, 3, 6]"
3,l1,100.0,0.7,6100.0,"[2, 3, 6]"
3,l1,1000.0,0.7,6100.0,"[2, 3, 6]"
3,l2,0.001,0.536,6349.999999999999,"[2, 3, 6]"
3,l2,0.01,0.672,6200.000000000001,"[2, 3, 6]"
3,l2,0.1,0.699,6200.000000000001,"[2, 3, 6]"
3,l2,1.0,0.7,6100.0,"[2, 3, 6]"
3,l2,10.0,0.7,6100.0,"[2, 3, 6]"
3,l2,100.0,0.7,6100.0,"[2, 3, 6]"
3,l2,1000.0,0.7,6100.0,"[2, 3, 6]"
4,l1,0.001,0.488,6099.999999999999,"[2, 3, 6, 4]"
4,l1,0.01,0.685,6300.0,"[2, 3, 6, 4]"
4,l1,0.1,0.7,6099.999999999999,"[2, 3, 6, 4]"
4,l1,1.0,0.702,6149.999999999999,"[2, 3, 6, 4]"
4,l1,10.0,0.702,6149.999999999999,"[2, 3, 6, 4]"
4,l1,100.0,0.702,6149.999999999999,"[2, 3, 6, 4]"
4,l1,1000.0,0.702,6149.999999999999,"[2, 3, 6, 4]"
4,l2,0.001,0.536,5650.0,"[2, 3, 6, 4]"
4,l2,0.01,0.642,6050.000000000001,"[2, 3, 6, 4]"
4,l2,0.1,0.689,6050.000000000001,"[2, 3, 6, 4]"
4,l2,1.0,0.7,6149.999999999999,"[2, 3, 6, 4]"
4,l2,10.0,0.702,6149.999999999999,"[2, 3, 6, 4]"
4,l2,100.0,0.702,6149.999999999999,"[2, 3, 6, 4]"
4,l2,1000.0,0.702,6149.999999999999,"[2, 3, 6, 4]"
