t,n_estimators,accuracy,score_among_top_20_percent,selected_features
1,50,0.576,6500.0,[2]
1,100,0.575,6650.000000000001,[2]
1,150,0.575,6650.000000000001,[2]
2,50,0.635,7100.0,"[2, 6]"
2,100,0.636,7000.0,"[2, 6]"
2,150,0.638,7000.0,"[2, 6]"
3,50,0.672,6450.0,"[2, 3, 6]"
3,100,0.678,6750.0,"[2, 3, 6]"
3,150,0.679,6700.0,"[2, 3, 6]"
4,50,0.686,6300.0,"[2, 3, 6, 7]"
4,100,0.687,6350.0,"[2, 3, 6, 7]"
4,150,0.69,6400.0,"[2, 3, 6, 7]"
5,50,0.682,6250.0,"[2, 3, 6, 7, 8]"
5,100,0.688,6200.0,"[2, 3, 6, 7, 8]"
5,150,0.685,6250.0,"[2, 3, 6, 7, 8]"
6,50,0.694,6050.0,"[2, 3, 4, 6, 7, 8]"
6,100,0.697,6250.0,"[2, 3, 4, 6, 7, 8]"
6,150,0.696,6150.0,"[2, 3, 4, 6, 7, 8]"
7,50,0.698,5700.0,"[2, 3, 4, 6, 7, 8, 462]"
7,100,0.7,5549.999999999999,"[2, 3, 4, 6, 7, 8, 462]"
7,150,0.705,5450.000000000001,"[2, 3, 4, 6, 7, 8, 462]"
8,50,0.699,5650.0,"[2, 3, 4, 6, 7, 8, 414, 462]"
8,100,0.706,5650.0,"[2, 3, 4, 6, 7, 8, 414, 462]"
8,150,0.709,5650.0,"[2, 3, 4, 6, 7, 8, 414, 462]"
9,50,0.693,5400.0,"[2, 3, 4, 5, 6, 7, 8, 414, 462]"
9,100,0.706,5500.0,"[2, 3, 4, 5, 6, 7, 8, 414, 462]"
9,150,0.707,5400.0,"[2, 3, 4, 5, 6, 7, 8, 414, 462]"
10,50,0.702,5300.0,"[1, 2, 3, 4, 5, 6, 7, 8, 414, 462]"
10,100,0.707,5150.0,"[1, 2, 3, 4, 5, 6, 7, 8, 414, 462]"
10,150,0.708,5000.0,"[1, 2, 3, 4, 5, 6, 7, 8, 414, 462]"
11,50,0.699,4900.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 414, 462]"
11,100,0.706,5000.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 414, 462]"
11,150,0.7,4850.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 414, 462]"
12,50,0.703,5050.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 414, 425, 462]"
12,100,0.71,4650.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 414, 425, 462]"
12,150,0.718,4750.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 414, 425, 462]"
13,50,0.707,4700.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 228, 414, 425, 462]"
13,100,0.708,4600.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 228, 414, 425, 462]"
13,150,0.707,4500.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 228, 414, 425, 462]"
14,50,0.708,4650.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 228, 414, 425, 460, 462]"
14,100,0.707,4500.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 228, 414, 425, 460, 462]"
14,150,0.707,4550.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 228, 414, 425, 460, 462]"
15,50,0.713,4300.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 228, 351, 414, 425, 460, 462]"
15,100,0.711,4050.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 228, 351, 414, 425, 460, 462]"
15,150,0.708,4000.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 228, 351, 414, 425, 460, 462]"
16,50,0.716,3850.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 228, 323, 351, 414, 425, 460, 462]"
16,100,0.711,4000.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 228, 323, 351, 414, 425, 460, 462]"
16,150,0.716,4150.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 228, 323, 351, 414, 425, 460, 462]"
17,50,0.697,3750.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 228, 298, 323, 351, 414, 425, 460, 462]"
