t,kernel,C,accuracy,score_among_top_20_percent,selected_features
1,linear,0.1,0.489,4450.0,[339]
1,linear,1.0,0.508,4300.0,[339]
1,linear,10.0,0.508,4450.0,[339]
1,rbf,0.1,0.495,4450.0,[339]
1,rbf,1.0,0.499,4450.0,[339]
1,rbf,10.0,0.497,4450.0,[339]
2,linear,0.1,0.5,4600.0,"[339, 351]"
2,linear,1.0,0.51,4600.0,"[339, 351]"
2,linear,10.0,0.51,4600.0,"[339, 351]"
2,rbf,0.1,0.525,4650.0,"[339, 351]"
2,rbf,1.0,0.522,4600.0,"[339, 351]"
2,rbf,10.0,0.515,4600.0,"[339, 351]"
3,linear,0.1,0.503,4550.0,"[339, 351, 344]"
3,linear,1.0,0.515,4400.0,"[339, 351, 344]"
3,linear,10.0,0.515,4400.0,"[339, 351, 344]"
3,rbf,0.1,0.528,4450.0,"[339, 351, 344]"
3,rbf,1.0,0.531,4400.0,"[339, 351, 344]"
3,rbf,10.0,0.526,4300.0,"[339, 351, 344]"
4,linear,0.1,0.504,3950.0,"[339, 351, 344, 356]"
4,linear,1.0,0.513,3850.0,"[339, 351, 344, 356]"
4,linear,10.0,0.509,3850.0,"[339, 351, 344, 356]"
4,rbf,0.1,0.513,4000.0,"[339, 351, 344, 356]"
4,rbf,1.0,0.503,4100.0,"[339, 351, 344, 356]"
4,rbf,10.0,0.503,4100.0,"[339, 351, 344, 356]"
5,linear,0.1,0.519,3650.0,"[339, 351, 344, 356, 395]"
5,linear,1.0,0.519,3600.0,"[339, 351, 344, 356, 395]"
5,linear,10.0,0.52,3600.0,"[339, 351, 344, 356, 395]"
5,rbf,0.1,0.519,3950.0,"[339, 351, 344, 356, 395]"
5,rbf,1.0,0.51,4300.0,"[339, 351, 344, 356, 395]"
5,rbf,10.0,0.509,3700.0,"[339, 351, 344, 356, 395]"
6,linear,0.1,0.53,3550.0,"[339, 351, 344, 356, 395, 318]"
6,linear,1.0,0.529,3550.0,"[339, 351, 344, 356, 395, 318]"
6,linear,10.0,0.525,3550.0,"[339, 351, 344, 356, 395, 318]"
6,rbf,0.1,0.512,3900.0,"[339, 351, 344, 356, 395, 318]"
6,rbf,1.0,0.518,3650.0,"[339, 351, 344, 356, 395, 318]"
6,rbf,10.0,0.524,3800.0,"[339, 351, 344, 356, 395, 318]"
7,linear,0.1,0.511,3650.0,"[339, 351, 344, 356, 395, 318, 146]"
7,linear,1.0,0.513,3650.0,"[339, 351, 344, 356, 395, 318, 146]"
7,linear,10.0,0.515,3500.0,"[339, 351, 344, 356, 395, 318, 146]"
7,rbf,0.1,0.512,3750.0,"[339, 351, 344, 356, 395, 318, 146]"
7,rbf,1.0,0.526,4000.0,"[339, 351, 344, 356, 395, 318, 146]"
7,rbf,10.0,0.533,3950.0,"[339, 351, 344, 356, 395, 318, 146]"
8,linear,0.1,0.499,3150.0,"[339, 351, 344, 356, 395, 318, 146, 330]"
8,linear,1.0,0.498,3300.0,"[339, 351, 344, 356, 395, 318, 146, 330]"
8,linear,10.0,0.499,3350.0,"[339, 351, 344, 356, 395, 318, 146, 330]"
8,rbf,0.1,0.517,3350.0,"[339, 351, 344, 356, 395, 318, 146, 330]"
8,rbf,1.0,0.505,3850.0,"[339, 351, 344, 356, 395, 318, 146, 330]"
8,rbf,10.0,0.519,3850.0,"[339, 351, 344, 356, 395, 318, 146, 330]"
9,linear,0.1,0.682,5200.0,"[339, 351, 344, 356, 395, 318, 146, 330, 2]"
9,linear,1.0,0.679,5200.0,"[339, 351, 344, 356, 395, 318, 146, 330, 2]"
9,linear,10.0,0.68,5149.999999999999,"[339, 351, 344, 356, 395, 318, 146, 330, 2]"
9,rbf,0.1,0.701,5050.000000000001,"[339, 351, 344, 356, 395, 318, 146, 330, 2]"
9,rbf,1.0,0.695,5099.999999999999,"[339, 351, 344, 356, 395, 318, 146, 330, 2]"
9,rbf,10.0,0.699,5300.0,"[339, 351, 344, 356, 395, 318, 146, 330, 2]"
10,linear,0.1,0.678,4949.999999999999,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92]"
10,linear,1.0,0.678,5000.0,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92]"
10,linear,10.0,0.677,4949.999999999999,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92]"
10,rbf,0.1,0.7,4850.000000000001,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92]"
10,rbf,1.0,0.698,4949.999999999999,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92]"
10,rbf,10.0,0.696,5050.0,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92]"
11,linear,0.1,0.682,4650.000000000001,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127]"
