t,max_depth,n_estimators,accuracy,score,selected_features
1,2,100,0.695,6749.999999999999,[2]
1,2,200,0.688,6679.999999999999,[2]
1,3,100,0.686,6660.000000000001,[2]
1,3,200,0.687,6670.000000000001,[2]
2,2,100,0.697,6569.999999999999,"[2, 3]"
2,2,200,0.692,6519.999999999999,"[2, 3]"
2,3,100,0.687,6470.000000000001,"[2, 3]"
2,3,200,0.688,6479.999999999999,"[2, 3]"
3,2,100,0.696,6359.999999999999,"[2, 3, 6]"
3,2,200,0.693,6329.999999999999,"[2, 3, 6]"
3,3,100,0.692,6319.999999999999,"[2, 3, 6]"
3,3,200,0.69,6299.999999999999,"[2, 3, 6]"
4,2,100,0.705,6250.0,"[2, 3, 6, 4]"
4,2,200,0.692,6119.999999999999,"[2, 3, 6, 4]"
4,3,100,0.689,6089.999999999999,"[2, 3, 6, 4]"
4,3,200,0.68,6000.000000000001,"[2, 3, 6, 4]"
5,2,100,0.702,6020.0,"[2, 3, 6, 4, 5]"
5,2,200,0.702,6020.0,"[2, 3, 6, 4, 5]"
5,3,100,0.7,6000.0,"[2, 3, 6, 4, 5]"
5,3,200,0.698,5979.999999999999,"[2, 3, 6, 4, 5]"
6,2,100,0.705,5850.0,"[2, 3, 6, 4, 5, 8]"
6,2,200,0.701,5810.0,"[2, 3, 6, 4, 5, 8]"
6,3,100,0.697,5769.999999999999,"[2, 3, 6, 4, 5, 8]"
6,3,200,0.689,5689.999999999999,"[2, 3, 6, 4, 5, 8]"
7,2,100,0.71,5700.0,"[2, 3, 6, 4, 5, 8, 7]"
7,2,200,0.708,5680.0,"[2, 3, 6, 4, 5, 8, 7]"
7,3,100,0.706,5660.0,"[2, 3, 6, 4, 5, 8, 7]"
7,3,200,0.681,5410.000000000001,"[2, 3, 6, 4, 5, 8, 7]"
8,2,100,0.703,5430.0,"[2, 3, 6, 4, 5, 8, 7, 1]"
8,2,200,0.704,5440.0,"[2, 3, 6, 4, 5, 8, 7, 1]"
8,3,100,0.697,5369.999999999999,"[2, 3, 6, 4, 5, 8, 7, 1]"
8,3,200,0.683,5230.000000000001,"[2, 3, 6, 4, 5, 8, 7, 1]"
9,2,100,0.703,5230.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414]"
9,2,200,0.698,5179.999999999999,"[2, 3, 6, 4, 5, 8, 7, 1, 414]"
9,3,100,0.707,5270.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414]"
9,3,200,0.699,5190.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414]"
10,2,100,0.712,5120.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462]"
10,2,200,0.703,5030.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462]"
10,3,100,0.698,4979.999999999999,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462]"
10,3,200,0.682,4820.000000000001,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462]"
11,2,100,0.71,4900.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9]"
11,2,200,0.703,4830.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9]"
11,3,100,0.693,4729.999999999999,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9]"
11,3,200,0.673,4530.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9]"
12,2,100,0.711,4710.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0]"
12,2,200,0.697,4569.999999999999,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0]"
12,3,100,0.699,4590.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0]"
12,3,200,0.679,4390.000000000001,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0]"
13,2,100,0.711,4510.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425]"
13,2,200,0.693,4329.999999999999,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425]"
